tip_doc,codunicocli,monto,prob_value_contact,tea,ingreso_neto,mnt_ptm,sldvig_tcrsrcf,ant_ultprdallsf,nro_configuracion_6m,nro_transfer_6m,nro_producto_6m,cre_sldtotfinprm03,ctd_campecsm01,max_campecs06m,ctd_camptotm01,ctd_camptot06m,ctd_camptototrcnl06m,ctd_sms_received,prm_cnt_fee_amt_u7d,telefonos_6meses,prom_score_acepta_12meses,dif_no_gestionado_4meses,dif_contacto_efectivo_10meses,ctd_app_productos_m1,monto_consumos_ecommerce_tc,avg_sald_pas_3m,act_avg6m_max12m,act_1m_avg3m,pas_avg6m_max12m,pas_1m_avg6m,pas_1m_avg3m,prop_atm_4m,cnl_atm_p4m_p12m,cnl_age_p4m_p12m,max_nact_12m,nprod_1m,senthtml_1m,openhtml_1m,avg_openhtml_6m,bpitrx_1m,apppag_1m,cre_lin_tc_rccibk_m07,lin_tcrrstsf03m,max_usotcribksf06m,max_usotcrrstsf03m,prom_pct_saldopprcc6m,prm_lintcribksf03m,prom_sow_lintcribksf3m,prom_uso_tc_rccsf3m,dsv_svppallsf06m,prm_svprmlibdis06m,prm_svprmecs06m,flg_saltotppe12m,num_incrsaldispefe06m,seg_un,beta_pctusotcr12m,rat_disefepnm01,pct_usotcrm01,beta_saltotppe12m,ctd_entrdm01,prm_saltotrdpj03m,copamiento,monto_aceptado,deuda_financiera_total,deuda_ssff_score,uso_tc_alto,uso_tc_muy_alto,navegacion_app_web,engagement_digital,fraccion_deuda_ingreso,urgencia_financiera,contactabilidad,ssff_30d_mora_proxy,ssff_60d_mora_proxy,ssff_90d_mora_proxy,ssff_mora_total_proxy,ssff_mora_ratio,ssff_pressure_index,mora_reciente_flag,mora_antigua_flag,tenencia_productos,tenencia_configuraciones,tenencia_activa_ratio,deuda_por_tenencia,navegacion_app_web_total,navegacion_app_share,navegacion_web_share,engagement_web_ratio,engagement_app_ratio,touchpoint_sms_ratio,html_touchpoint_score,digital_activity_balance,ssff_mora_30d_score_ultimos_6m,ssff_mora_60d_score_ultimos_6m,ssff_mora_90d_score_ultimos_6m,ssff_mora_total_score_ultimos_6m,ssff_mora_ratio_ultimos_6m,ssff_pressure_index_ultimos_6m,mora_reciente_flag_ultimos_30d,mora_antigua_flag_ultimos_60d,num_productos_tenencia_ultimos_6m,num_configuraciones_tenencia_ultimos_6m,ratio_productos_activos_tenencia_ultimos_6m,deuda_por_producto_tenencia_ultimos_6m,interacciones_app_web_ultimos_1m,share_interacciones_app_ultimos_1m,share_interacciones_web_ultimos_1m,ratio_apertura_html_ultimos_1m,ratio_engagement_app_ultimos_1m,sms_touchpoints_ultimos_1m,html_touchpoints_ultimos_1m,balance_actividad_digital_ultimos_1m,target_venta
1,14599764,7700,0.03838937,19.42,1745.0,0,1283.03,48.0,0.0,212.0,2.0,-0.87,1.0,1.0,6.0,40,11,0,0.0,10.0,0.0,0.0,0.0,0.0,1528.02,1576.37,0.48,0.976,0.495,0.362,0.572,1.0,1.0,1.0,0.0,1.0,52.0,14.0,8.333333,0.0,0.0,0.0,3.0,0.0,0.0,0.0,500.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-220.739,0.0,7855.0234,0.921,0.0,-0.87,50.0,0,0,66.0,0.0,0.0,4.4126077,0.03838937,0.0,0.0,500.0,50.0,0.0,220.63037,0,0,2.0,0.0,0.0093896715,-0.435,66.0,0.0,0.7878788,1.68,0.0,0.0,80.0,1.0,0.0,0.0,500.0,50.0,0.0,220.63037,0,0,2.0,0.0,0.0093896715,-0.435,66.0,0.0,0.7878788,1.68,0.0,0.0,80.0,1.0,0.0
1,14681100,3600,0.52880436,50.93,2298.0,5400,1283.03,2.0,12.0,348.0,32.0,-0.261,1.0,1.0,9.0,43,7,0,0.0,3.0,0.0,13.0,13.0,0.0,278.73,1165.717,0.618,1.367,0.476,0.826,1.035,1.0,1.0,1.0,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.5,66600.0,0.525,0.494,0.0,15566.667,0.411,0.331,0.0,0.0,0.0,0.0,1.0,2.0,0.022,0.015,0.336,-220.739,3.0,7855.0234,0.921,0.0,-0.261,1556.6667,0,0,26.0,0.0,0.0,1.5665796,0.52880436,0.0,0.0,15566.667,1556.6667,0.0,2438.6423,0,0,32.0,12.0,0.09169055,-0.00815625,26.0,0.0,1.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,15566.667,1556.6667,0.0,2438.6423,0,0,32.0,12.0,0.09169055,-0.00815625,26.0,0.0,1.0,0.0,0.0,0.0,26.0,3.0,0.0
1,10769039,13700,0.33402357,47.47,2463.0,0,1584.78,3.0,1.0,52.0,2.0,6.567,1.0,1.0,7.0,27,6,4,0.2857,4.0,16.666666,0.0,155.0,0.0,0.0,2589.333,0.461,0.443,0.334,2.992,1.574,1.0,1.0,1.0,1.0,2.0,84.0,2.0,1.6666666,0.0,1.0,0.0,6600.0,0.4,0.72,0.347,2000.0,0.476,0.425,409.093,0.0,0.0,1.0,0.0,2.0,0.107,0.0,0.422,-158.998,2.0,7855.0234,0.921,0.0,1591.347,200.0,0,1,87.0,1.0,0.6461011,5.562322,17.00069,0.0,0.0,2000.0,200.0,0.12567969,1112.4645,0,0,2.0,1.0,0.03773585,795.6735,87.0,0.011494253,0.9655172,1.2,10.0,0.071425,88.0,2.0,0.0,0.0,2000.0,200.0,0.12567969,1112.4645,0,0,2.0,1.0,0.03773585,795.6735,87.0,0.011494253,0.9655172,1.2,10.0,0.071425,88.0,2.0,0.0
1,15112194,36000,0.28822938,19.42,2590.0,41000,1283.03,12.0,2.0,321.0,20.0,-0.972,1.0,1.0,7.0,46,11,0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1000.323,0.48,0.976,0.396,1.709,2.164,1.0,1.3333334,1.0,0.0,1.0,56.0,1.0,0.0,0.0,0.0,1.204,28500.0,0.0,0.0,0.0,32400.0,0.773,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-220.739,0.0,7855.0234,0.921,0.0,-0.972,3240.0,0,0,6.0,6.0,0.0,13.899614,0.28822938,0.0,0.0,32400.0,3240.0,0.0,45034.75,0,0,20.0,2.0,0.062111802,-0.0486,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,32400.0,3240.0,0.0,45034.75,0,0,20.0,2.0,0.062111802,-0.0486,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1,13798186,7200,0.09632592,39.13,2184.0,0,1283.03,41.0,1.0,35.0,4.0,0.0,1.0,1.0,4.0,29,9,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547,0.846,0.44,0.966,1.0,0.0,1.0,1.0,1.0,1.0,56.0,1.0,2.1666667,0.0,2.0,-0.072,0.0,0.93,0.0,0.0,8100.947,1.0,0.632,0.0,0.0,5111.045,0.0,0.0,4.0,-0.038,0.0,0.593,-220.739,2.0,9065.163,0.921,0.0,0.0,5921.1396,1,0,0.0,0.0,0.0,3.2967033,0.09632592,5111.045,0.0,8100.947,5921.1396,10.0,19520.24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5111.045,0.0,8100.947,5921.1396,10.0,19520.24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,9092087,60000,0.35429087,34.33,17085.0,113300,1283.03,11.0,0.0,15.0,2.0,0.008,1.0,1.0,7.0,40,13,0,0.0,2.0,0.0,0.0,0.0,0.0,22049.773,9498.597,0.574,0.206,0.49,0.552,0.629,1.0,1.0,1.0,2.0,4.0,53.0,53.0,46.333332,0.0,0.0,0.0,181800.0,0.293,0.054,0.445,80000.0,0.569,0.055,11549.716,80853.14,0.0,1.0,0.0,2.0,-0.013,0.0,0.053,-6018.797,2.0,7855.0234,0.921,0.0,0.008,88853.14,0,1,106.0,0.0,4.68247e-07,3.5118525,0.35429087,0.0,80853.14,80000.0,88853.14,10.0,312039.12,0,1,2.0,0.0,0.125,0.004,106.0,0.0,0.5,1.1438849,0.0,0.0,159.0,4.0,0.0,80853.14,80000.0,88853.14,10.0,312039.12,0,1,2.0,0.0,0.125,0.004,106.0,0.0,0.5,1.1438849,0.0,0.0,159.0,4.0,0.0
1,9725769,12400,0.50146526,50.93,3045.0,23700,4898.26,0.0,0.0,4.0,3.0,0.662,1.0,1.0,6.0,32,9,7,0.0,6.0,0.0,52.0,52.0,0.0,0.0,0.99,0.718,1.075,0.069,0.064,1.091,1.0,1.0,1.0,1.0,2.0,88.0,4.0,3.6666667,0.0,6.0,-0.062,20609.9,0.288,0.73,0.121,16265.32,0.704,0.374,1678.68,0.0,4288.91,1.0,1.0,2.0,-0.009,0.266,0.377,-434.848,5.0,7855.0234,0.921,0.0,4898.922,5915.442,0,0,98.0,6.0,1.6088414,4.0722494,0.50146526,4288.91,0.0,16265.32,5915.442,1.2074987,24089.156,1,0,3.0,0.0,0.6,1632.974,98.0,0.06122449,0.8979592,1.0909091,10.0,0.0,96.0,2.0,4288.91,0.0,16265.32,5915.442,1.2074987,24089.156,1,0,3.0,0.0,0.6,1632.974,98.0,0.06122449,0.8979592,1.0909091,10.0,0.0,96.0,2.0,0.0
1,13908217,15300,0.24631783,19.42,2800.0,14800,1283.03,17.0,3.0,55.0,1.0,-0.394,1.0,1.0,6.0,35,8,0,0.0,2.0,0.0,0.0,0.0,0.0,107.61,8712.74,0.184,0.368,0.659,0.595,0.748,0.0,0.0,1.0,1.0,2.0,70.0,0.0,0.33333334,0.0,10.0,0.0,244275.5,0.014,0.0,0.0,25700.0,0.242,0.001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-220.739,1.0,7855.0234,0.921,0.0,-0.394,2570.0,0,0,80.0,10.0,0.0,5.464286,0.24631783,0.0,0.0,25700.0,2570.0,0.0,14043.214,0,0,1.0,3.0,0.017857144,-0.394,80.0,0.125,0.875,0.0,10.0,0.0,70.0,2.0,0.0,0.0,25700.0,2570.0,0.0,14043.214,0,0,1.0,3.0,0.017857144,-0.394,80.0,0.125,0.875,0.0,10.0,0.0,70.0,2.0,0.0
1,8977634,41700,0.26372087,25.19,5191.0,0,844.39,2.0,1.0,35.0,4.0,0.059,1.0,1.0,6.0,37,8,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,421.121,0.094,0.976,0.923,1.02,1.007,0.0,1.0,1.0,1.0,2.0,57.0,0.0,0.33333334,0.0,2.0,-0.053,50700.0,0.041,0.081,0.407,25100.0,0.598,0.025,608.609,0.0,521.257,1.0,0.0,2.0,-0.016,0.0,0.02,-305.394,3.0,7855.0234,0.921,0.0,844.449,3031.257,0,1,57.0,0.0,0.16267559,8.033134,0.26372087,521.257,0.0,25100.0,3031.257,3.589627,24350.494,1,0,0.0,0.0,0.0,844449000000.0,57.0,0.0,1.0,0.0,0.0,0.0,57.0,2.0,521.257,0.0,25100.0,3031.257,3.589627,24350.494,1,0,0.0,0.0,0.0,844449000000.0,57.0,0.0,1.0,0.0,0.0,0.0,57.0,2.0,0.0
1,14849284,6500,0.3252037,39.13,1931.0,0,1283.03,1.0,1.0,95.0,11.0,22.193,0.0,1.0,3.0,17,6,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,182.08,0.549,1.051,0.466,0.31,0.268,1.0,1.0,0.0,1.0,2.0,32.0,0.0,0.5,0.0,2.0,3.484,14990.6,0.972,0.285,0.0,3355.5,0.368,0.479,0.0,0.0,3219.563,1.0,1.0,4.0,-0.001,0.0,0.515,-540.056,2.0,13406.56,0.921,0.0,22.193,3555.113,0,0,34.0,2.0,0.011493009,3.3661315,0.3252037,3219.563,0.0,3355.5,3555.113,10.0,11966.978,1,0,11.0,1.0,0.114583336,2.0175455,34.0,0.05882353,0.9411765,0.0,10.0,0.0,32.0,2.0,3219.563,0.0,3355.5,3555.113,10.0,11966.978,1,0,11.0,1.0,0.114583336,2.0175455,34.0,0.05882353,0.9411765,0.0,10.0,0.0,32.0,2.0,0.0
